jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas,Cluster,Perfil,PrgR_Pontuacao,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Aerial Duel%_Pontuacao,Pontuacao_Total,Pontuacao
Agustín Canobbio,Ath Paranaense,"FW,MF",1215,136,3.5,2.5,4,1,47,57,62.5,7,7,50.0% (7/7),25.365853658536587,4,ata mobilidade,544,17.5,10.0,40.0,3,50.73170731707317,125.0,790.2317073170732,45.00380034159987
Bruno Zapelli,Ath Paranaense,"MF,FW",1412,116,3.7,4.7,0,5,37,82,23.75,4,17,19.0% (4/17),29.024390243902438,2,ata fin_criador,464,18.5,18.8,0.0,15,58.048780487804876,47.5,621.8487804878049,33.10519793661272
Christian,Ath Paranaense,"MF,FW",1507,102,1.8,1.8,1,0,15,58,56.875,15,18,45.5% (15/18),17.804878048780488,0,ata gol,408,9.0,7.2,10.0,0,35.609756097560975,113.75,583.5597560975609,30.3995443037102
Fernandinho,Ath Paranaense,MF,1551,36,1.6,2.4,1,3,39,168,74.25,19,13,59.4% (19/13),50.48780487804878,4,ata mobilidade,144,8.0,9.6,10.0,9,100.97560975609755,148.5,430.07560975609755,19.55374855009643
Filipinho,Ath Paranaense,MF,923,11,0.6,0.2,0,0,7,16,55.49999999999999,8,10,44.4% (8/10),5.609756097560976,0,ata gol,44,3.0,0.8,0.0,0,11.219512195121952,110.99999999999999,170.01951219512193,1.1771579649472328
Gabriel,Ath Paranaense,MF,1431,5,0.4,0.3,1,2,17,103,49.375,17,26,39.5% (17/26),29.268292682926827,0,ata gol,20,2.0,1.2,10.0,6,58.536585365853654,98.75,196.48658536585367,3.0474258502510296
Gonzalo Mastriani,Ath Paranaense,FW,900,40,3.9,0.9,4,0,2,17,60.5,30,32,48.4% (30/32),4.634146341463414,1,ata criador sec,160,19.5,3.6,40.0,0,9.268292682926829,121.0,353.36829268292684,14.133306676364288
João Machado Cruz,Ath Paranaense,"MF,FW",838,61,0.7,1.0,1,2,22,37,57.75,6,7,46.2% (6/7),14.390243902439023,0,ata gol,244,3.5,4.0,10.0,6,28.780487804878046,115.5,411.780487804878,18.260943001770045
Julimar,Ath Paranaense,"FW,MF",1665,173,5.7,2.3,6,2,83,43,73.625,53,37,58.9% (53/37),30.73170731707317,3,ata aerea,692,28.5,9.2,60.0,6,61.46341463414634,147.25,1004.4134146341463,60.13872539472709
Lucas Di Yorio,Ath Paranaense,FW,799,47,4.0,0.2,3,0,15,10,47.75,26,42,38.2% (26/42),6.097560975609756,1,ata criador sec,188,20.0,0.8,30.0,0,12.195121951219512,95.5,346.4951219512195,13.647621296390453
Nikão,Ath Paranaense,"FW,MF",1624,135,3.6,2.9,6,2,32,89,55.75,25,31,44.6% (25/31),29.51219512195122,4,ata mobilidade,540,18.0,11.6,60.0,6,59.02439024390244,111.5,806.1243902439024,46.12684006335627
Pablo,Ath Paranaense,"FW,MF",1703,66,3.7,1.8,3,2,12,52,43.875,40,74,35.1% (40/74),15.609756097560975,1,ata criador sec,264,18.5,7.2,30.0,6,31.21951219512195,87.75,444.66951219512197,20.585011314849254
Tomás Cuello,Ath Paranaense,"FW,MF",2010,188,2.8,4.2,3,5,102,88,50.0,18,27,40.0% (18/27),46.34146341463415,2,ata fin_criador,752,14.0,16.8,30.0,15,92.6829268292683,100.0,1020.4829268292683,61.27426057072341
Alejo Cruz,Atl Goianiense,"FW,MF",2156,151,2.4,3.7,1,2,69,115,59.5,20,22,47.6% (20/22),44.87804878048781,4,ata mobilidade,604,12.0,14.8,10.0,6,89.75609756097562,119.0,855.5560975609756,49.61987966446689
Derek,Atl Goianiense,FW,986,53,3.8,1.9,3,1,20,17,30.874999999999996,20,61,24.7% (20/61),9.024390243902438,1,ata criador sec,212,19.0,7.6,30.0,3,18.048780487804876,61.74999999999999,351.39878048780486,13.99413316879549
Emiliano Rodríguez,Atl Goianiense,FW,1096,64,2.8,0.5,0,0,10,13,50.0,40,60,40.0% (40/60),5.609756097560976,1,ata criador sec,256,14.0,2.0,0.0,0,11.219512195121952,100.0,383.219512195122,16.242711703156267
Gabriel Baralhas,Atl Goianiense,MF,2452,59,2.4,2.4,1,3,22,121,60.5,31,33,48.4% (31/33),34.8780487804878,4,ata mobilidade,236,12.0,9.6,10.0,9,69.7560975609756,121.0,467.3560975609756,22.188135006058143
Gonzalo Freitas,Atl Goianiense,MF,820,4,0.5,0.2,0,0,2,27,87.25,30,13,69.8% (30/13),7.073170731707316,0,ata gol,16,2.5,0.8,0.0,0,14.146341463414632,174.5,207.94634146341463,3.857217460544525
Jan Carlos Hurtado,Atl Goianiense,FW,865,41,1.7,0.6,2,0,9,15,42.25,24,47,33.8% (24/47),5.853658536585367,1,ata criador sec,164,8.5,2.4,20.0,0,11.707317073170733,84.5,291.10731707317075,9.733700326260621
Janderson,Atl Goianiense,"FW,MF",962,116,2.5,1.0,3,0,35,43,17.875000000000004,2,12,14.3% (2/12),19.024390243902438,4,ata mobilidade,464,12.5,4.0,30.0,0,38.048780487804876,35.75000000000001,584.2987804878048,30.45176668487843
Luiz Fernando,Atl Goianiense,"FW,MF",2591,230,5.7,1.3,8,0,79,78,38.5,24,54,30.8% (24/54),38.29268292682927,3,ata aerea,920,28.5,5.2,80.0,0,76.58536585365854,77.0,1187.2853658536585,73.0611794674696
Rhaldney,Atl Goianiense,MF,2157,74,1.1,1.0,0,1,40,132,62.5,26,26,50.0% (26/26),41.951219512195124,0,ata gol,296,5.5,4.0,0.0,3,83.90243902439025,125.0,517.4024390243902,25.724607082595814
Shaylon,Atl Goianiense,"FW,MF",2167,95,4.1,5.7,1,2,36,129,46.0,7,12,36.8% (7/12),40.243902439024396,2,ata fin_criador,380,20.5,22.8,10.0,6,80.48780487804879,92.0,611.7878048780487,32.39424967813434
Alan Franco,Atlético Mineiro,MF,1631,52,1.0,2.0,0,0,5,50,81.25,26,14,65.0% (26/14),13.414634146341465,0,ata gol,208,5.0,8.0,0.0,0,26.82926829268293,162.5,410.32926829268297,18.1583941014562
Bernard,Atlético Mineiro,"MF,FW",900,70,0.5,1.8,0,0,28,61,0.0,0,4,0.0% (0/4),21.70731707317073,0,ata gol,280,2.5,7.2,0.0,0,43.41463414634146,0.0,333.1146341463415,12.702103200387446
Cadu,Atlético Mineiro,"FW,MF",1008,65,1.9,0.1,3,0,13,16,47.87499999999999,18,29,38.3% (18/29),7.073170731707316,0,ata gol,260,9.5,0.4,30.0,0,14.146341463414632,95.74999999999999,409.7963414634146,18.120735387643457
Deyverson,Atlético Mineiro,FW,1001,49,2.3,0.8,2,1,4,14,67.375,41,35,53.9% (41/35),4.390243902439024,1,ata criador sec,196,11.5,3.2,20.0,3,8.780487804878048,134.75,377.23048780487807,15.819503594382045
Eduardo Vargas,Atlético Mineiro,"MF,FW",851,67,5.4,1.2,6,2,13,40,56.50000000000001,14,17,45.2% (14/17),12.926829268292684,4,ata mobilidade,268,27.0,4.8,60.0,6,25.853658536585368,113.00000000000001,504.6536585365854,24.823727919670606
Fausto Vera,Atlético Mineiro,MF,1654,26,1.8,0.3,2,0,19,77,69.0,16,13,55.2% (16/13),23.414634146341466,0,ata gol,104,9.0,1.2,20.0,0,46.82926829268293,138.0,319.0292682926829,11.70677563851771
Federico Zaracho,Atlético Mineiro,MF,874,34,0.9,0.6,2,0,6,28,47.625,8,13,38.1% (8/13),8.292682926829269,0,ata gol,136,4.5,2.4,20.0,0,16.585365853658537,95.25,274.73536585365855,8.57679361473671
Hulk,Atlético Mineiro,"FW,MF",1892,143,9.5,1.9,6,5,38,60,49.625,23,35,39.7% (23/35),23.902439024390244,3,ata aerea,572,47.5,7.6,60.0,15,47.80487804878049,99.25,849.1548780487805,49.16754422098168
Igor Gomes,Atlético Mineiro,MF,1321,61,2.1,1.2,0,3,21,83,50.0,10,15,40.0% (10/15),25.365853658536587,0,ata gol,244,10.5,4.8,0.0,9,50.73170731707317,100.0,419.03170731707314,18.773342801153373
Otávio,Atlético Mineiro,MF,1917,17,0.2,0.2,0,0,19,89,63.74999999999999,25,24,51.0% (25/24),26.34146341463415,0,ata gol,68,1.0,0.8,0.0,0,52.6829268292683,127.49999999999999,249.98292682926828,6.827688547786924
Paulinho,Atlético Mineiro,"FW,MF",1991,158,5.9,1.6,7,1,54,79,32.0,10,29,25.6% (10/29),32.4390243902439,4,ata mobilidade,632,29.5,6.4,70.0,3,64.8780487804878,64.0,869.7780487804878,50.624858887542636
Ademir Santos,Bahia,"FW,MF",1131,147,3.6,2.8,3,4,66,29,26.5,7,26,21.2% (7/26),23.170731707317074,4,ata mobilidade,588,18.0,11.2,30.0,12,46.34146341463415,53.0,758.5414634146341,42.76444259071269
Biel,Bahia,"FW,MF",904,100,4.5,3.4,5,4,37,41,15.625,1,7,12.5% (1/7),19.024390243902438,4,ata mobilidade,400,22.5,13.6,50.0,12,38.048780487804876,31.25,567.3987804878049,29.257545961727715
Caio Alexandre,Bahia,MF,2774,52,1.1,2.3,2,0,80,236,46.0,7,12,36.8% (7/12),77.07317073170732,4,ata mobilidade,208,5.5,9.2,20.0,0,154.14634146341464,92.0,488.84634146341466,23.706720486167967
Carlos de Pena,Bahia,MF,683,28,1.0,2.3,0,3,14,68,86.5,9,4,69.2% (9/4),20.0,0,ata gol,112,5.0,9.2,0.0,9,40.0,173.0,348.2,13.768094710372605
Cauly Oliveira Souza,Bahia,"MF,FW",2676,179,3.5,5.4,4,6,65,138,39.75,7,15,31.8% (7/15),49.51219512195122,2,ata fin_criador,716,17.5,21.6,40.0,18,99.02439024390245,79.5,991.6243902439024,59.23500243876797
Everaldo Stum,Bahia,FW,2056,166,7.2,1.9,7,3,40,37,79.0,55,32,63.2% (55/32),18.78048780487805,3,ata aerea,664,36.0,7.6,70.0,9,37.5609756097561,158.0,982.1609756097561,58.566280198065876
Everton Ribeiro,Bahia,MF,2681,162,1.5,4.6,2,5,85,325,58.375,14,16,46.7% (14/16),100.0,2,ata fin_criador,648,7.5,18.4,20.0,15,200.0,116.75,1025.65,61.639386361168626
Jean Lucas,Bahia,MF,2901,149,5.4,2.8,3,6,53,126,52.125,20,28,41.7% (20/28),43.65853658536585,2,ata fin_criador,596,27.0,11.2,30.0,18,87.3170731707317,104.25,873.7670731707317,50.90673910008601
Luciano Rodríguez,Bahia,"FW,MF",900,70,5.8,1.1,5,1,23,28,26.5,7,26,21.2% (7/26),12.439024390243903,4,ata mobilidade,280,29.0,4.4,50.0,3,24.878048780487806,53.0,444.2780487804878,20.557348964428456
Thaciano,Bahia,"FW,MF",2343,124,5.7,2.6,7,2,20,50,52.75000000000001,38,52,42.2% (38/52),17.073170731707318,3,ata aerea,496,28.5,10.4,70.0,6,34.146341463414636,105.50000000000001,750.5463414634146,42.1994757079752
Carlos Eduardo,Botafogo (RJ),"MF,FW",823,29,1.7,0.5,2,1,11,41,46.875,9,15,37.5% (9/15),12.682926829268293,0,ata gol,116,8.5,2.0,20.0,3,25.365853658536587,93.75,268.6158536585366,8.144364722488888
Danilo Barbosa,Botafogo (RJ),MF,1153,13,1.3,0.4,3,1,9,53,62.5,18,18,50.0% (18/18),15.121951219512194,0,ata gol,52,6.5,1.6,30.0,3,30.24390243902439,125.0,248.3439024390244,6.711868613314811
Gregore,Botafogo (RJ),MF,2220,38,1.2,1.7,3,2,29,199,74.375,69,47,59.5% (69/47),55.60975609756098,1,ata criador sec,152,6.0,6.8,30.0,6,111.21951219512196,148.75,460.76951219512193,21.722700879507627
Igor Jesus,Botafogo (RJ),FW,1454,134,6.8,2.6,5,3,20,35,47.75,47,76,38.2% (47/76),13.414634146341465,3,ata aerea,536,34.0,10.4,50.0,9,26.82926829268293,95.5,761.729268292683,42.989705469217235
Jefferson Savarino,Botafogo (RJ),"MF,FW",2009,175,5.2,6.5,8,7,46,124,34.125,3,8,27.3% (3/8),41.46341463414634,2,ata fin_criador,700,26.0,26.0,80.0,21,82.92682926829268,68.25,1004.1768292682926,60.12200733870954
Júnior Santos,Botafogo (RJ),FW,1481,127,6.3,1.5,4,1,44,30,60.375,28,30,48.3% (28/30),18.048780487804876,1,ata criador sec,508,31.5,6.0,40.0,3,36.09756097560975,120.75,745.3475609756098,41.83210935332147
Luiz Henrique,Botafogo (RJ),"FW,MF",2533,261,7.1,3.8,6,3,85,74,48.125,25,40,38.5% (25/40),38.78048780487805,3,ata aerea,1044,35.5,15.2,60.0,9,77.5609756097561,96.25,1337.510975609756,83.67671416088287
Marlon Freitas,Botafogo (RJ),MF,2425,43,1.7,4.3,0,5,44,264,46.875,12,20,37.5% (12/20),75.1219512195122,2,ata fin_criador,172,8.5,17.2,0.0,15,150.2439024390244,93.75,456.6939024390244,21.434702203164022
Tchê Tchê,Botafogo (RJ),"MF,FW",1570,44,0.7,2.8,0,0,30,94,28.875,6,20,23.1% (6/20),30.24390243902439,0,ata gol,176,3.5,11.2,0.0,0,60.48780487804878,57.75,308.9378048780488,10.993672991377275
Thiago Almada,Botafogo (RJ),"FW,MF",1252,108,3.4,2.6,1,2,65,112,31.25,3,9,25.0% (3/9),43.170731707317074,4,ata mobilidade,432,17.0,10.4,10.0,6,86.34146341463415,62.5,624.2414634146342,33.27427435881085
Tiquinho Soares,Botafogo (RJ),FW,1349,69,6.7,2.1,3,3,7,27,44.625,30,54,35.7% (30/54),8.292682926829269,1,ata criador sec,276,33.5,8.4,30.0,9,16.585365853658537,89.25,462.73536585365855,21.86161586043698
Óscar Romero,Botafogo (RJ),"MF,FW",678,54,1.4,1.5,0,4,12,52,39.125,5,11,31.3% (5/11),15.609756097560975,0,ata gol,216,7.0,6.0,0.0,12,31.21951219512195,78.25,350.469512195122,13.928467402376036
André Carrillo,Corinthians,MF,730,25,0.2,2.2,0,2,13,66,0.0,0,3,0.0% (0/3),19.26829268292683,0,ata gol,100,1.0,8.8,0.0,6,38.53658536585366,0.0,154.33658536585367,0.06894043718578198
Breno,Corinthians,MF,1780,55,1.4,1.0,0,0,24,118,72.375,11,8,57.9% (11/8),34.63414634146341,0,ata gol,220,7.0,4.0,0.0,0,69.26829268292683,144.75,445.0182926829268,20.60965752114317
Igor Coronado,Corinthians,"MF,FW",1378,90,1.1,4.0,1,2,72,114,22.000000000000004,3,14,17.6% (3/14),45.36585365853659,4,ata mobilidade,360,5.5,16.0,10.0,6,90.73170731707317,44.00000000000001,532.2317073170732,26.77250172781971
José Andrés Martínez,Corinthians,MF,633,5,0.0,0.1,0,0,6,25,83.375,10,5,66.7% (10/5),7.560975609756097,0,ata gol,20,0.0,0.4,0.0,0,15.121951219512194,166.75,202.2719512195122,3.456242642762719
Memphis,Corinthians,FW,793,62,3.7,0.9,6,1,24,31,62.5,3,3,50.0% (3/3),13.414634146341465,4,ata mobilidade,248,18.5,3.6,60.0,3,26.82926829268293,125.0,484.92926829268293,23.42992463086705
Rodrigo Garro,Corinthians,"MF,FW",2995,169,6.0,7.4,9,10,64,246,37.5,12,28,30.0% (12/28),75.60975609756098,2,ata fin_criador,676,30.0,29.6,90.0,30,151.21951219512195,75.0,1081.819512195122,65.60854585659355
Wesley,Corinthians,FW,1438,124,1.8,2.4,2,1,79,45,12.5,1,9,10.0% (1/9),30.24390243902439,4,ata mobilidade,496,9.0,9.6,20.0,3,60.48780487804878,25.0,623.0878048780488,33.19275229183866
Yuri Alberto,Corinthians,FW,2197,172,10.7,1.9,12,4,52,31,41.62499999999999,32,64,33.3% (32/64),20.243902439024392,3,ata aerea,688,53.5,7.6,120.0,12,40.487804878048784,83.24999999999999,1004.8378048780487,60.16871448490291
Ángel Romero,Corinthians,FW,1449,141,5.2,2.8,5,4,33,53,56.875,25,30,45.5% (25/30),20.975609756097562,4,ata mobilidade,564,26.0,11.2,50.0,12,41.951219512195124,113.75,818.9012195121951,47.02970126385056
Allano,Criciúma,"FW,MF",1296,134,2.1,1.9,1,2,62,59,55.00000000000001,22,28,44.0% (22/28),29.51219512195122,4,ata mobilidade,536,10.5,7.6,10.0,6,59.02439024390244,110.00000000000001,739.1243902439024,41.392355539622656
Arthur,Criciúma,FW,1671,87,5.0,1.7,5,1,12,26,59.375,58,64,47.5% (58/64),9.268292682926829,1,ata criador sec,348,25.0,6.8,50.0,3,18.536585365853657,118.75,570.0865853658537,29.447476866174547
Barreto,Criciúma,MF,2281,35,3.1,0.9,2,2,18,92,86.25,29,13,69.0% (29/13),26.82926829268293,0,ata gol,140,15.5,3.6,20.0,6,53.65853658536586,172.5,411.25853658536585,18.224059867875653
Fellipe Mateus,Criciúma,"MF,FW",1887,108,1.9,0.9,3,0,17,60,61.625,33,34,49.3% (33/34),18.78048780487805,1,ata criador sec,432,9.5,3.6,30.0,0,37.5609756097561,123.25,635.9109756097561,34.09888816309929
Higor Meritão,Criciúma,MF,1040,13,1.3,0.1,2,0,10,52,56.875,5,6,45.5% (5/6),15.121951219512194,0,ata gol,52,6.5,0.4,20.0,0,30.24390243902439,113.75,222.89390243902437,4.913471133777193
Marquinhos Gabriel,Criciúma,MF,1003,55,0.5,1.8,0,0,22,46,34.75,5,13,27.8% (5/13),16.585365853658537,0,ata gol,220,2.5,7.2,0.0,0,33.170731707317074,69.5,332.3707317073171,12.649536117033286
Matheusinho,Criciúma,MF,1585,114,4.0,2.2,5,3,21,88,14.374999999999998,3,23,11.5% (3/23),26.585365853658537,4,ata mobilidade,456,20.0,8.8,50.0,9,53.170731707317074,28.749999999999996,625.7207317073171,33.37880529669379
Newton,Criciúma,MF,2299,58,1.6,1.0,1,1,35,80,57.375,28,33,45.9% (28/33),28.04878048780488,0,ata gol,232,8.0,4.0,10.0,3,56.09756097560976,114.75,427.8475609756098,19.3963058266734
Ronald,Criciúma,MF,1510,58,0.8,1.5,1,2,34,64,35.0,7,18,28.0% (7/18),23.902439024390244,0,ata gol,232,4.0,6.0,10.0,6,47.80487804878049,70.0,375.8048780487805,15.71876438054432
Yannick Bolasie,Criciúma,FW,2377,172,7.4,1.8,8,4,63,55,57.75,43,50,46.2% (43/50),28.780487804878046,3,ata aerea,688,37.0,7.2,80.0,12,57.56097560975609,115.5,997.2609756097561,59.633305814608825
Éder,Criciúma,FW,764,60,1.1,1.3,0,0,13,22,25.0,4,16,20.0% (4/16),8.536585365853659,0,ata gol,240,5.5,5.2,0.0,0,17.073170731707318,50.0,317.7731707317073,11.618014825641016
Arthur,Cruzeiro,FW,1273,130,1.6,0.8,2,1,48,35,29.75,5,16,23.8% (5/16),20.243902439024392,4,ata mobilidade,520,8.0,3.2,20.0,3,40.487804878048784,59.5,654.1878048780488,35.39040107822844
Gabriel Veron,Cruzeiro,"FW,MF",1611,100,4.1,1.5,6,2,24,34,45.0,9,16,36.0% (9/16),14.146341463414632,4,ata mobilidade,400,20.5,6.0,60.0,6,28.292682926829265,90.0,610.7926829268292,32.32393043220483
Kaio Jorge,Cruzeiro,FW,1163,56,5.3,1.4,2,2,20,18,36.625,17,41,29.3% (17/41),9.268292682926829,1,ata criador sec,224,26.5,5.6,20.0,6,18.536585365853657,73.25,373.88658536585365,15.583210245927775
Lautaro Díaz,Cruzeiro,FW,959,74,2.2,0.6,1,0,15,15,54.25,23,30,43.4% (23/30),7.317073170731707,0,ata gol,296,11.0,2.4,10.0,0,14.634146341463413,108.5,442.5341463414634,20.43411793295887
Lucas Romero,Cruzeiro,MF,2531,26,0.7,0.8,0,2,22,159,76.75,27,17,61.4% (27/17),44.146341463414636,0,ata gol,104,3.5,3.2,0.0,6,88.29268292682927,153.5,358.4926829268293,14.495416322682612
Lucas Silva,Cruzeiro,MF,1991,49,0.9,1.5,1,1,29,103,53.125,17,23,42.5% (17/23),32.19512195121951,0,ata gol,196,4.5,6.0,10.0,3,64.39024390243902,106.25,390.140243902439,16.73175792944291
Matheus Henrique,Cruzeiro,"MF,FW",1219,50,1.0,0.3,2,0,22,56,62.5,10,10,50.0% (10/10),19.024390243902438,0,ata gol,200,5.0,1.2,20.0,0,38.048780487804876,125.0,389.2487804878049,16.6687636049644
Matheus Pereira,Cruzeiro,"FW,MF",2823,175,5.3,5.7,8,7,89,224,36.12499999999999,11,27,28.9% (11/27),76.34146341463415,2,ata fin_criador,700,26.5,22.8,80.0,21,152.6829268292683,72.24999999999999,1075.2329268292683,65.14311173004305
Ramiro Benetti,Cruzeiro,MF,1436,43,1.1,0.7,2,0,9,57,51.24999999999999,16,23,41.0% (16/23),16.097560975609756,0,ata gol,172,5.5,2.8,20.0,0,32.19512195121951,102.49999999999999,334.9951219512195,12.834985893063042
Álvaro Barreal,Cruzeiro,"MF,FW",1488,113,2.4,1.6,2,4,29,69,33.375,4,11,26.7% (4/11),23.902439024390244,4,ata mobilidade,452,12.0,6.4,20.0,12,47.80487804878049,66.75,616.9548780487805,32.759375468579535
Clayson,Cuiabá,"FW,MF",2043,120,2.6,1.2,5,1,56,75,26.375000000000004,4,15,21.1% (4/15),31.951219512195124,4,ata mobilidade,480,13.0,4.8,50.0,3,63.90243902439025,52.75000000000001,667.4524390243903,36.32773249731564
Denilson,Cuiabá,MF,2016,43,1.1,2.2,0,3,26,96,51.125,9,13,40.9% (9/13),29.756097560975608,0,ata gol,172,5.5,8.8,0.0,9,59.512195121951216,102.25,357.0621951219512,14.394332406658958
