jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas,Cluster,Perfil,PrgR_Pontuacao,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Aerial Duel%_Pontuacao,Pontuacao_Total,Pontuacao
Aníbal Moreno,Palmeiras,MF,2517,27,0.9,1.1,1,1,25,167,54.37499999999999,20,26,43.5% (20/26),46.82926829268293,0,ata gol,108,4.5,4.4,10.0,3,93.65853658536587,108.74999999999999,332.30853658536586,12.645141164162693
Estêvão Willian,Palmeiras,FW,2097,291,10.5,7.1,10,9,145,92,40.5,11,23,32.4% (11/23),57.80487804878048,2,ata fin_criador,1164,52.5,28.4,100.0,27,115.60975609756096,81.0,1568.509756097561,100.0
Felipe Anderson,Palmeiras,FW,1310,122,2.8,4.3,2,2,46,57,56.25,9,11,45.0% (9/11),25.121951219512194,4,ata mobilidade,488,14.0,17.2,20.0,6,50.24390243902439,112.5,707.9439024390244,39.18901916716506
Gabriel Menino,Palmeiras,"MF,FW",1067,70,2.1,1.4,1,0,25,73,65.0,13,12,52.0% (13/12),23.902439024390244,0,ata gol,280,10.5,5.6,10.0,0,47.80487804878049,130.0,483.90487804878046,23.357537171821974
José López,Palmeiras,FW,2140,111,9.4,3.0,10,2,32,41,60.62499999999999,80,85,48.5% (80/85),17.804878048780488,3,ata aerea,444,47.0,12.0,100.0,6,35.609756097560975,121.24999999999999,765.859756097561,43.28158204515255
Lázaro,Palmeiras,"FW,MF",773,72,2.7,0.5,2,0,28,41,43.49999999999999,8,15,34.8% (8/15),16.82926829268293,0,ata gol,288,13.5,2.0,20.0,0,33.65853658536586,86.99999999999999,444.1585365853658,20.5489037608732
Mauricio,Palmeiras,MF,1132,97,3.5,1.1,3,0,13,47,52.37499999999999,13,18,41.9% (13/18),14.634146341463413,4,ata mobilidade,388,17.5,4.4,30.0,0,29.268292682926827,104.74999999999999,573.9182926829268,29.718240433221705
Raphael Veiga,Palmeiras,MF,2478,124,10.8,7.1,8,3,57,168,50.0,16,24,40.0% (16/24),54.87804878048781,2,ata fin_criador,496,54.0,28.4,80.0,9,109.75609756097562,100.0,877.1560975609756,51.14622094376011
Richard Ríos,Palmeiras,MF,1742,51,1.2,1.4,3,4,27,103,70.5,22,17,56.4% (22/17),31.70731707317073,4,ata mobilidade,204,6.0,5.6,30.0,12,63.41463414634146,141.0,462.01463414634145,21.810686112465984
Rony,Palmeiras,FW,1721,125,8.3,2.7,4,2,22,20,30.25,23,72,24.2% (23/72),10.24390243902439,3,ata aerea,500,41.5,10.8,40.0,6,20.48780487804878,60.5,679.2878048780487,37.164066175925655
Zé Rafael,Palmeiras,MF,951,20,0.6,1.8,0,2,10,49,43.25,9,17,34.6% (9/17),14.390243902439023,0,ata gol,80,3.0,7.2,0.0,6,28.780487804878046,86.5,211.48048780487804,4.106954194250021
Eduardo Sasha,Red Bull Bragantino,FW,2079,111,5.4,2.6,7,4,25,58,50.5,67,99,40.4% (67/99),20.243902439024392,3,ata aerea,444,27.0,10.4,70.0,12,40.487804878048784,101.0,704.8878048780488,38.97306324768059
