jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,Aerial Duel Won_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Pedro Henrique,Red Bull Bragantino,DF,2372,8,83,52.9,55,49,21,4,0,0,22,38,57.9,24,3,52.9% (55/49),3,zagueiros modernos,16,166,550,-63,-20,0,220,120,-6,983,43.703308431163286
Alan Franco,São Paulo,DF,2191,14,98,53.0,44,39,18,6,1,0,12,24,50.0,13,1,53.0% (44/39),3,zagueiros modernos,28,196,440,-54,-30,-10,120,65,-2,753,31.43009605122732
Diego,São Paulo,DF,894,4,40,72.9,35,13,16,2,0,0,6,11,54.5,12,0,72.9% (35/13),0,zagueiros defensivos,8,80,350,-48,-10,0,60,60,0,500,17.929562433297757
Igor Vinícius de Souza,São Paulo,DF,2463,66,137,35.1,13,24,18,7,1,1,30,55,54.5,18,1,35.1% (13/24),1,zagueiros fisicos,132,274,130,-54,-35,-10,300,90,-2,825,35.27214514407684
José Sabino,São Paulo,DF,972,5,43,63.5,33,19,11,3,0,0,10,15,66.7,13,1,63.5% (33/19),0,zagueiros defensivos,10,86,330,-33,-15,0,100,65,-2,541,20.117395944503734
Nahuel Ferraresi,São Paulo,DF,902,9,45,46.4,13,15,10,2,0,0,14,27,51.9,8,0,46.4% (13/15),0,zagueiros defensivos,18,90,130,-30,-10,0,140,40,0,378,11.419423692636073
Patryck,São Paulo,DF,615,11,22,47.1,8,9,9,1,0,0,11,22,50.0,7,0,47.1% (8/9),0,zagueiros defensivos,22,44,80,-27,-5,0,110,35,0,259,5.069370330843117
Robert Arboleda,São Paulo,DF,2256,2,45,68.5,63,29,20,3,0,0,15,23,65.2,23,3,68.5% (63/29),3,zagueiros modernos,4,90,630,-60,-15,0,150,115,-6,908,39.701173959445036
Ruan,São Paulo,DF,719,0,19,63.6,21,12,10,1,0,0,10,13,76.9,6,0,63.6% (21/12),0,zagueiros defensivos,0,38,210,-30,-5,0,100,30,0,343,9.551760939167556
Welington,São Paulo,DF,1697,40,79,57.9,33,24,23,6,0,0,18,32,56.3,23,0,57.9% (33/24),1,zagueiros fisicos,80,158,330,-69,-30,0,180,115,0,764,32.017075773745994
João Victor,Vasco da Gama,DF,1776,41,78,56.6,30,23,13,6,2,1,18,25,72.0,21,0,56.6% (30/23),2,zagueiros equilibrados,82,156,300,-39,-30,-20,180,105,0,734,30.4162219850587
Lucas Piton,Vasco da Gama,DF,2703,63,104,50.8,30,29,34,5,0,0,37,66,56.1,38,0,50.8% (30/29),4,zagueiros completos,126,208,300,-102,-25,0,370,190,0,1067,48.18569903948773
Léo Pelé,Vasco da Gama,DF,2700,26,78,54.9,28,23,27,3,0,0,16,24,66.7,30,1,54.9% (28/23),1,zagueiros fisicos,52,156,280,-81,-15,0,160,150,-2,700,28.601921024546424
Maicon,Vasco da Gama,DF,2351,3,72,68.9,73,33,12,5,0,0,29,43,67.4,29,0,68.9% (73/33),3,zagueiros modernos,6,144,730,-36,-25,0,290,145,0,1254,58.164354322305236
Paulo Henrique,Vasco da Gama,DF,2516,56,86,46.3,19,22,40,6,0,0,52,85,61.2,46,2,46.3% (19/22),4,zagueiros completos,112,172,190,-120,-30,0,520,230,-4,1070,48.34578441835646
EDU,Vitória,DF,744,2,23,58.6,17,12,5,2,0,0,7,10,70.0,6,0,58.6% (17/12),0,zagueiros defensivos,4,46,170,-15,-10,0,70,30,0,295,6.990394877267876
Lucas Esteves,Vitória,DF,2932,46,108,60.9,56,36,36,10,0,0,30,43,69.8,40,0,60.9% (56/36),4,zagueiros completos,92,216,560,-108,-50,0,300,200,0,1210,55.81643543223053
Neris,Vitória,DF,1359,9,37,60.3,35,23,17,3,1,0,12,19,63.2,11,0,60.3% (35/23),0,zagueiros defensivos,18,74,350,-51,-15,-10,120,55,0,541,20.117395944503734
Raúl Cáceres,Vitória,DF,1695,50,49,50.0,19,19,22,2,0,0,28,47,59.6,14,0,50.0% (19/19),1,zagueiros fisicos,100,98,190,-66,-10,0,280,70,0,662,26.57417289220918
Wagner,Vitória,DF,3156,23,103,54.8,85,70,16,5,1,0,19,28,67.9,50,1,54.8% (85/70),3,zagueiros modernos,46,206,850,-48,-25,-10,190,250,-2,1457,68.99679829242262
Willean Lepo,Vitória,DF,1789,52,78,50.0,36,36,18,5,0,0,45,77,58.4,30,1,50.0% (36/36),4,zagueiros completos,104,156,360,-54,-25,0,450,150,-2,1139,52.02774813233725
