jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas,Cluster,Perfil,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Key_Pass_Pontuacao,Passing 1/3_Pontuacao,Cross_Pontuacao,%Dribles_Pontuacao,Pontuacao_Total,Pontuacao
Alan Franco,Atlético Mineiro,MF,1631,1.0,2.0,0,0,5,50,12,44,10,7,1,,13.414634146341465,1,mei apoio,1.1,3.7,0.0,0,16.097560975609756,18.0,48.400000000000006,10.0,,97.29756097560977,11.201584920947859
Bernard,Atlético Mineiro,"MF,FW",900,0.5,1.8,0,0,28,61,21,48,32,25,12,,21.70731707317073,1,mei apoio,0.55,3.33,0.0,0,26.048780487804876,31.5,52.800000000000004,32.0,,146.2287804878049,17.879810383375975
Cadu,Atlético Mineiro,"FW,MF",1008,1.9,0.1,3,0,13,16,4,14,9,18,11,,7.073170731707316,1,mei apoio,2.09,0.18500000000000003,5.4,0,8.48780487804878,6.0,15.400000000000002,9.0,,46.56280487804878,4.27720937137938
Deyverson,Atlético Mineiro,FW,1001,2.3,0.8,2,1,4,14,4,8,2,14,4,,4.390243902439024,1,mei apoio,2.53,1.4800000000000002,3.6,2,5.268292682926829,6.0,8.8,2.0,,31.67829268292683,2.2457429716402277
Eduardo Vargas,Atlético Mineiro,"MF,FW",851,5.4,1.2,6,2,13,40,15,22,4,14,7,,12.926829268292684,2,mei assist,5.940000000000001,2.22,10.8,4,15.512195121951219,22.5,24.200000000000003,4.0,,89.17219512195123,10.092619608486713
Fausto Vera,Atlético Mineiro,MF,1654,1.8,0.3,2,0,19,77,8,68,12,19,14,,23.414634146341466,1,mei apoio,1.9800000000000002,0.555,3.6,0,28.09756097560976,12.0,74.80000000000001,12.0,,133.03256097560978,16.078765364823592
Federico Zaracho,Atlético Mineiro,MF,874,0.9,0.6,2,0,6,28,9,26,7,19,5,,8.292682926829269,1,mei apoio,0.9900000000000001,1.11,3.6,0,9.951219512195122,13.5,28.6,7.0,,64.75121951219512,6.759598630054676
Hulk,Atlético Mineiro,"FW,MF",1892,9.5,1.9,6,5,38,60,25,32,32,87,38,,23.902439024390244,2,mei assist,10.450000000000001,3.515,10.8,10,28.682926829268293,37.5,35.2,32.0,,168.1479268292683,20.871376967482192
Igor Gomes,Atlético Mineiro,MF,1321,2.1,1.2,0,3,21,83,21,58,43,26,13,,25.365853658536587,4,finalizadores criativos,2.3100000000000005,2.22,0.0,6,30.4390243902439,31.5,63.800000000000004,43.0,,179.2690243902439,22.38920541407025
Otávio,Atlético Mineiro,MF,1917,0.2,0.2,0,0,19,89,8,110,7,17,10,,26.34146341463415,4,finalizadores criativos,0.22000000000000003,0.37000000000000005,0.0,0,31.609756097560975,12.0,121.00000000000001,7.0,,172.199756097561,21.42437829585047
Paulinho,Atlético Mineiro,"FW,MF",1991,5.9,1.6,7,1,54,79,32,55,17,55,31,,32.4390243902439,2,mei assist,6.490000000000001,2.9600000000000004,12.6,2,38.92682926829268,48.0,60.50000000000001,17.0,,188.47682926829268,23.64590405356215
Ademir Santos,Bahia,"FW,MF",1131,3.6,2.8,3,4,66,29,20,19,54,63,27,,23.170731707317074,0,construtores diretos,3.9600000000000004,5.18,5.4,8,27.804878048780488,30.0,20.900000000000002,54.0,,155.2448780487805,19.110344445345078
Biel,Bahia,"FW,MF",904,4.5,3.4,5,4,37,41,21,13,21,35,13,,19.024390243902438,2,mei assist,4.95,6.29,9.0,8,22.829268292682926,31.5,14.3,21.0,,117.86926829268293,14.009250476396707
Caio Alexandre,Bahia,MF,2774,1.1,2.3,2,0,80,236,33,255,29,30,17,,77.07317073170732,5,dribladores_cross,1.2100000000000002,4.255,3.6,0,92.48780487804878,49.5,280.5,29.0,,460.5528048780488,60.77934822572706
Carlos de Pena,Bahia,MF,683,1.0,2.3,0,3,14,68,20,47,61,13,8,,20.0,4,finalizadores criativos,1.1,4.255,0.0,6,24.0,30.0,51.7,61.0,,178.055,22.22351306722582
Cauly Oliveira Souza,Bahia,"MF,FW",2676,3.5,5.4,4,6,65,138,70,123,91,96,44,,49.51219512195122,3,mei completos,3.8500000000000005,9.990000000000002,7.2,12,59.41463414634146,105.0,135.3,91.0,,423.75463414634146,55.75706422787948
Everaldo Stum,Bahia,FW,2056,7.2,1.9,7,3,40,37,20,14,34,35,11,,18.78048780487805,2,mei assist,7.920000000000001,3.515,12.6,6,22.536585365853657,30.0,15.400000000000002,34.0,,131.97158536585366,15.933961405250857
Everton Ribeiro,Bahia,MF,2681,1.5,4.6,2,5,85,325,53,223,57,70,29,,100.0,5,dribladores_cross,1.6500000000000001,8.51,3.6,10,120.0,79.5,245.3,57.0,,525.56,69.65165327008117
Jean Lucas,Bahia,MF,2901,5.4,2.8,3,6,53,126,20,107,21,70,36,,43.65853658536585,0,construtores diretos,5.940000000000001,5.18,5.4,12,52.39024390243902,30.0,117.7,21.0,,249.61024390243904,31.989508204142957
Luciano Rodríguez,Bahia,"FW,MF",900,5.8,1.1,5,1,23,28,10,12,13,45,14,,12.439024390243903,2,mei assist,6.38,2.035,9.0,2,14.926829268292682,15.0,13.200000000000001,13.0,,75.54182926829269,8.232321475442497
