jogador,time,posicao,idade,Minutos,Prgc,PrgP,xAG,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Cross,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,xAG_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Cross_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Luciano Juba,Bahia,DF,24,3114,46,149,4.2,49.2,29,30,7,2,0,0,117,35,65,53.8,52,0,49.2% (29/30),1,Laterais moderno,92,298,42.0,-21,-10,0,1170,350,260,0,2181.0,73.20261437908496
Santiago Arias,Bahia,DF,32,1884,57,115,3.1,45.9,17,20,25,2,1,0,67,22,36,61.1,20,1,45.9% (17/20),1,Laterais moderno,114,230,31.0,-75,-10,-10,670,220,100,-2,1268.0,41.795665634674926
Alexander Barboza,Botafogo (RJ),DF,28,2033,14,90,1.0,69.0,78,35,41,11,2,1,4,17,24,70.8,30,0,69.0% (78/35),5,Laterais fisico,28,180,10.0,-123,-55,-20,40,170,150,0,380.0,11.248710010319918
Bastos,Botafogo (RJ),DF,32,2628,12,111,0.1,67.9,55,26,35,6,0,0,4,19,30,63.3,31,1,67.9% (55/26),2,Laterais aereo,24,222,1.0,-105,-30,0,40,190,155,-2,495.0,15.204678362573098
Cuiabano,Botafogo (RJ),DF,20,1476,37,40,1.4,57.1,28,21,31,5,0,0,114,22,33,66.7,23,0,57.1% (28/21),4,Laterais equilibrados,74,80,14.0,-93,-25,0,1140,220,115,0,1525.0,50.63639490884073
Damián Suárez,Botafogo (RJ),DF,35,1244,22,37,1.6,50.0,8,8,26,5,0,0,51,19,41,46.3,9,0,50.0% (8/8),4,Laterais equilibrados,44,74,16.0,-78,-25,0,510,190,45,0,776.0,24.871001031991742
Fernando Marçal,Botafogo (RJ),DF,34,1014,18,59,0.7,65.9,27,14,27,5,0,0,53,10,22,45.5,22,0,65.9% (27/14),4,Laterais equilibrados,36,118,7.0,-81,-25,0,530,100,110,0,795.0,25.524595803233574
Lucas Halter,Botafogo (RJ),DF,23,1353,8,42,0.1,46.2,18,21,19,4,0,0,0,9,20,45.0,11,2,46.2% (18/21),3,Laterais criativos,16,84,1.0,-57,-20,0,0,90,55,-4,165.0,3.8527691778465774
Mateo Ponte,Botafogo (RJ),DF,20,1132,22,45,1.0,62.1,18,11,22,3,0,0,43,12,23,52.2,21,0,62.1% (18/11),4,Laterais equilibrados,44,90,10.0,-66,-15,0,430,120,105,0,718.0,22.875816993464053
André Ramalho,Corinthians,DF,31,1482,10,53,0.3,54.5,24,20,23,5,1,0,1,13,23,56.5,25,0,54.5% (24/20),3,Laterais criativos,20,106,3.0,-69,-25,-10,10,130,125,0,290.0,8.152734778121776
Cacá,Corinthians,DF,24,2298,9,45,0.2,61.3,65,41,29,4,1,0,1,22,27,81.5,13,2,61.3% (65/41),2,Laterais aereo,18,90,2.0,-87,-20,-10,10,220,65,-4,284.0,7.946336429308566
Fagner,Corinthians,DF,34,913,14,39,2.2,20.0,1,4,5,4,1,1,44,12,24,50.0,11,1,20.0% (1/4),3,Laterais criativos,28,78,22.0,-15,-20,-10,440,120,55,-2,696.0,22.119023047815617
Félix Torres Caicedo,Corinthians,DF,27,1710,5,60,0.8,63.2,43,25,25,3,0,0,3,12,25,48.0,27,1,63.2% (43/25),2,Laterais aereo,10,120,8.0,-75,-15,0,30,120,135,-2,331.0,9.56312349501204
Gustavo Henrique,Corinthians,DF,30,1478,6,25,0.2,69.3,52,23,13,8,1,1,2,7,8,87.5,19,1,69.3% (52/23),5,Laterais fisico,12,50,2.0,-39,-40,-10,20,70,95,-2,158.0,3.611971104231166
Hugo,Corinthians,DF,26,1822,26,72,1.6,63.9,46,26,39,3,0,0,22,30,48,62.5,21,0,63.9% (46/26),4,Laterais equilibrados,52,144,16.0,-117,-15,0,220,300,105,0,705.0,22.42862057103543
Matheus Bidu,Corinthians,DF,24,1500,35,63,0.9,41.2,7,10,11,3,0,0,39,17,28,60.7,30,0,41.2% (7/10),4,Laterais equilibrados,70,126,9.0,-33,-15,0,390,170,150,0,867.0,28.001375988992088
Matheuzinho,Corinthians,DF,23,2244,43,99,1.6,36.0,9,16,18,4,0,0,68,30,59,50.8,26,2,36.0% (9/16),1,Laterais moderno,86,198,16.0,-54,-20,0,680,300,130,-4,1332.0,43.997248022015825
Claudinho,Criciúma,DF,23,2047,43,113,3.6,33.3,7,14,15,3,1,0,62,36,85,42.4,26,0,33.3% (7/14),1,Laterais moderno,86,226,36.0,-45,-15,-10,620,360,130,0,1388.0,45.923632610939116
Jonathan,Criciúma,DF,31,705,8,40,0.7,36.8,7,12,11,2,0,0,17,11,25,44.0,9,0,36.8% (7/12),3,Laterais criativos,16,80,7.0,-33,-10,0,170,110,45,0,385.0,11.420708634330925
Luis Eduardo Marques dos Santos,Criciúma,DF,26,749,22,58,1.5,53.3,8,7,10,0,0,0,46,12,21,57.1,8,1,53.3% (8/7),3,Laterais criativos,44,116,15.0,-30,0,0,460,120,40,-2,763.0,24.423804609563124
Miguel Trauco,Criciúma,DF,31,1446,3,81,0.5,48.1,13,14,16,3,1,0,32,17,32,53.1,9,0,48.1% (13/14),3,Laterais criativos,6,162,5.0,-48,-15,-10,320,170,45,0,635.0,20.020639834881322
Rodrigo Fagundes,Criciúma,DF,36,2880,20,113,1.1,69.1,96,43,35,9,0,0,5,26,38,68.4,50,1,69.1% (96/43),2,Laterais aereo,40,226,11.0,-105,-45,0,50,260,250,-2,685.0,21.7406260749914
