jogador,time,posicao,idade,Minutos,Prgc,PrgP,xAG,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Cross,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,xAG_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Cross_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Rodrigo Sam,Juventude,DF,28,803,2,22,0.1,76.3,29,9,13,4,1,0,0,8,15,53.3,20,0,76.3% (29/9),3,Laterais criativos,4,44,1.0,-39,-20,-10,0,80,100,0,160.0,3.6807705538355697
Zé Marcos,Juventude,DF,25,1951,5,40,0.1,66.3,53,27,20,12,2,2,2,18,31,58.1,18,1,66.3% (53/27),5,Laterais fisico,10,80,1.0,-60,-60,-20,20,180,90,-2,239.0,6.398348813209494
Agustín Giay,Palmeiras,DF,20,642,16,37,0.2,50.0,4,4,12,1,0,0,18,21,34,61.8,6,0,50.0% (4/4),3,Laterais criativos,32,74,2.0,-36,-5,0,180,210,30,0,487.0,14.929480564155487
Caio Paulista,Palmeiras,DF,25,1201,39,74,0.9,50.0,10,10,15,1,1,0,50,14,26,53.8,9,1,50.0% (10/10),4,Laterais equilibrados,78,148,9.0,-45,-5,-10,500,140,45,-2,858.0,27.691778465772277
Gustavo Gómez,Palmeiras,DF,30,2367,8,82,1.8,61.3,100,63,44,9,0,0,5,18,24,75.0,32,0,61.3% (100/63),2,Laterais aereo,16,164,18.0,-132,-45,0,50,180,160,0,411.0,12.315101479188167
Joaquín Piquerez,Palmeiras,DF,25,1314,29,87,2.0,65.0,13,7,10,2,0,0,79,18,36,50.0,13,0,65.0% (13/7),4,Laterais equilibrados,58,174,20.0,-30,-10,0,790,180,65,0,1247.0,41.073271413828685
Kaiky Naves,Palmeiras,DF,21,733,2,41,0.3,50.0,25,25,17,1,0,0,0,14,19,73.7,17,0,50.0% (25/25),3,Laterais criativos,4,82,3.0,-51,-5,0,0,140,85,0,258.0,7.051943584451324
Marcos Rocha,Palmeiras,DF,35,1936,35,150,3.7,58.1,18,13,29,5,1,0,53,25,49,51.0,33,2,58.1% (18/13),1,Laterais moderno,70,300,37.0,-87,-25,-10,530,250,165,-4,1226.0,40.35087719298245
Mayke,Palmeiras,DF,31,1035,20,73,1.0,55.9,19,15,17,7,0,0,36,16,30,53.3,23,2,55.9% (19/15),4,Laterais equilibrados,40,146,10.0,-51,-35,0,360,160,115,-4,741.0,23.667010663914688
Murilo Cerqueira,Palmeiras,DF,26,2175,25,127,0.4,60.6,66,43,34,7,1,1,7,15,30,50.0,25,0,60.6% (66/43),5,Laterais fisico,50,254,4.0,-102,-35,-10,70,150,125,0,506.0,15.583075335397318
Vanderlan,Palmeiras,DF,21,1051,19,32,2.6,52.2,12,11,20,0,0,0,46,13,21,61.9,13,0,52.2% (12/11),4,Laterais equilibrados,38,64,26.0,-60,0,0,460,130,65,0,723.0,23.04781561747506
Vitor Reis,Palmeiras,DF,18,1458,3,46,0.1,65.7,46,24,24,3,0,0,0,20,29,69.0,13,0,65.7% (46/24),3,Laterais criativos,6,92,1.0,-72,-15,0,0,200,65,0,277.0,7.705538355693155
Douglas Mendes,Red Bull Bragantino,DF,19,1346,9,29,0.1,66.7,38,19,24,2,0,0,10,11,18,61.1,17,0,66.7% (38/19),3,Laterais criativos,18,58,1.0,-72,-10,0,100,110,85,0,290.0,8.152734778121776
Eduardo Santos,Red Bull Bragantino,DF,26,1716,12,62,0.2,67.3,35,17,8,5,0,0,5,12,18,66.7,19,1,67.3% (35/17),3,Laterais criativos,24,124,2.0,-24,-25,0,50,120,95,-2,364.0,10.698314413484693
Guilherme,Red Bull Bragantino,DF,21,670,8,18,0.2,40.6,13,19,8,1,0,0,31,10,15,66.7,10,0,40.6% (13/19),3,Laterais criativos,16,36,2.0,-24,-5,0,310,100,50,0,485.0,14.860681114551083
José Hurtado,Red Bull Bragantino,DF,22,1325,39,56,2.2,40.7,11,16,14,2,0,0,56,13,29,44.8,19,1,40.7% (11/16),4,Laterais equilibrados,78,112,22.0,-42,-10,0,560,130,95,-2,943.0,30.61575507395941
Luan Cândido,Red Bull Bragantino,DF,22,1953,7,50,0.1,70.5,62,26,37,5,0,0,7,16,28,57.1,32,1,70.5% (62/26),2,Laterais aereo,14,100,1.0,-111,-25,0,70,160,160,-2,367.0,10.801513587891296
Lucas Cunha,Red Bull Bragantino,DF,27,782,0,22,0.1,61.3,19,12,5,2,1,0,0,4,7,57.1,4,0,61.3% (19/12),3,Laterais criativos,0,44,1.0,-15,-10,-10,0,40,20,0,70.0,0.5847953216374269
Nathan Mendes,Red Bull Bragantino,DF,21,1165,17,51,0.9,48.4,15,16,17,6,0,0,17,17,26,65.4,11,0,48.4% (15/16),3,Laterais criativos,34,102,9.0,-51,-30,0,170,170,55,0,459.0,13.966288269693841
Pedro Henrique,Red Bull Bragantino,DF,28,2372,8,83,0.1,52.9,55,49,21,4,0,0,1,22,38,57.9,24,3,52.9% (55/49),2,Laterais aereo,16,166,1.0,-63,-20,0,10,220,120,-6,444.0,13.450292397660817
Alan Franco,São Paulo,DF,27,2191,14,98,0.4,53.0,44,39,18,6,1,0,2,12,24,50.0,13,1,53.0% (44/39),2,Laterais aereo,28,196,4.0,-54,-30,-10,20,120,65,-2,337.0,9.769521843825249
Diego,São Paulo,DF,24,894,4,40,0.1,72.9,35,13,16,2,0,0,5,6,11,54.5,12,0,72.9% (35/13),3,Laterais criativos,8,80,1.0,-48,-10,0,50,60,60,0,201.0,5.091159270725834
Igor Vinícius de Souza,São Paulo,DF,26,2463,66,137,2.5,35.1,13,24,18,7,1,1,112,30,55,54.5,18,1,35.1% (13/24),1,Laterais moderno,132,274,25.0,-54,-35,-10,1120,300,90,-2,1840.0,61.472308221534234
José Sabino,São Paulo,DF,27,972,5,43,0.1,63.5,33,19,11,3,0,0,6,10,15,66.7,13,1,63.5% (33/19),3,Laterais criativos,10,86,1.0,-33,-15,0,60,100,65,-2,272.0,7.533539731682147
Nahuel Ferraresi,São Paulo,DF,25,902,9,45,0.8,46.4,13,15,10,2,0,0,10,14,27,51.9,8,0,46.4% (13/15),3,Laterais criativos,18,90,8.0,-30,-10,0,100,140,40,0,356.0,10.42311661506708
Patryck,São Paulo,DF,21,615,11,22,0.1,47.1,8,9,9,1,0,0,22,11,22,50.0,7,0,47.1% (8/9),3,Laterais criativos,22,44,1.0,-27,-5,0,220,110,35,0,400.0,11.936704506363949
Robert Arboleda,São Paulo,DF,32,2256,2,45,0.5,68.5,63,29,20,3,0,0,1,15,23,65.2,23,3,68.5% (63/29),2,Laterais aereo,4,90,5.0,-60,-15,0,10,150,115,-6,293.0,8.25593395252838
Ruan,São Paulo,DF,24,719,0,19,0.0,63.6,21,12,10,1,0,0,0,10,13,76.9,6,0,63.6% (21/12),3,Laterais criativos,0,38,0.0,-30,-5,0,0,100,30,0,133.0,2.7519779841761265
Welington,São Paulo,DF,22,1697,40,79,0.8,57.9,33,24,23,6,0,0,65,18,32,56.3,23,0,57.9% (33/24),4,Laterais equilibrados,80,158,8.0,-69,-30,0,650,180,115,0,1092.0,35.741314069487444
João Victor,Vasco da Gama,DF,25,1776,41,78,0.8,56.6,30,23,13,6,2,1,6,18,25,72.0,21,0,56.6% (30/23),5,Laterais fisico,82,156,8.0,-39,-30,-20,60,180,105,0,502.0,15.44547643618851
Lucas Piton,Vasco da Gama,DF,23,2703,63,104,3.6,50.8,30,29,34,5,0,0,182,37,66,56.1,38,0,50.8% (30/29),0,Laterais protetores,126,208,36.0,-102,-25,0,1820,370,190,0,2623.0,88.40729274165807
Léo Pelé,Vasco da Gama,DF,27,2700,26,78,0.7,54.9,28,23,27,3,0,0,5,16,24,66.7,30,1,54.9% (28/23),4,Laterais equilibrados,52,156,7.0,-81,-15,0,50,160,150,-2,477.0,14.585483316133471
Maicon,Vasco da Gama,DF,35,2351,3,72,0.4,68.9,73,33,12,5,0,0,11,29,43,67.4,29,0,68.9% (73/33),2,Laterais aereo,6,144,4.0,-36,-25,0,110,290,145,0,638.0,20.123839009287924
Paulo Henrique,Vasco da Gama,DF,27,2516,56,86,1.7,46.3,19,22,40,6,0,0,88,52,85,61.2,46,2,46.3% (19/22),0,Laterais protetores,112,172,17.0,-120,-30,0,880,520,230,-4,1777.0,59.30512555899553
EDU,Vitória,DF,23,744,2,23,0.0,58.6,17,12,5,2,0,0,0,7,10,70.0,6,0,58.6% (17/12),3,Laterais criativos,4,46,0.0,-15,-10,0,0,70,30,0,125.0,2.476780185758514
Lucas Esteves,Vitória,DF,23,2932,46,108,3.0,60.9,56,36,36,10,0,0,121,30,43,69.8,40,0,60.9% (56/36),0,Laterais protetores,92,216,30.0,-108,-50,0,1210,300,200,0,1890.0,63.1922944616443
Neris,Vitória,DF,31,1359,9,37,0.0,60.3,35,23,17,3,1,0,1,12,19,63.2,11,0,60.3% (35/23),3,Laterais criativos,18,74,0.0,-51,-15,-10,10,120,55,0,201.0,5.091159270725834
Raúl Cáceres,Vitória,DF,32,1695,50,49,2.4,50.0,19,19,22,2,0,0,94,28,47,59.6,14,0,50.0% (19/19),4,Laterais equilibrados,100,98,24.0,-66,-10,0,940,280,70,0,1436.0,47.57481940144479
Wagner,Vitória,DF,24,3156,23,103,0.4,54.8,85,70,16,5,1,0,4,19,28,67.9,50,1,54.8% (85/70),2,Laterais aereo,46,206,4.0,-48,-25,-10,40,190,250,-2,651.0,20.57103543171655
Willean Lepo,Vitória,DF,27,1789,52,78,1.5,50.0,36,36,18,5,0,0,55,45,77,58.4,30,1,50.0% (36/36),0,Laterais protetores,104,156,15.0,-54,-25,0,550,450,150,-2,1344.0,44.410044719642244
